,epoch,train_loss,test_loss,train_acc,test_acc
0,1,1.2815,1.1334,0.33,0.5803
1,2,1.0771,1.0077,0.59,0.6624
2,3,0.9375,0.9024,0.75,0.7682
3,4,0.8248,0.8243,0.86,0.8029
4,5,0.7263,0.7467,0.91,0.8595
5,6,0.6679,0.6954,0.93,0.8704
6,7,0.5909,0.6358,0.97,0.8869
7,8,0.5166,0.5908,0.98,0.8905
8,9,0.4747,0.5437,0.99,0.8942
9,10,0.4246,0.5010,0.99,0.8923
10,11,0.3870,0.4950,0.99,0.8869
11,12,0.3594,0.4708,0.99,0.8942
12,13,0.3173,0.4540,1.00,0.9015
13,14,0.2955,0.4480,0.99,0.8960
14,15,0.2739,0.4419,1.00,0.8996
15,16,0.2608,0.4289,1.00,0.8996
16,17,0.2407,0.4341,1.00,0.8960
17,18,0.2344,0.4315,1.00,0.8978
18,19,0.2283,0.4064,1.00,0.9088
19,20,0.2098,0.4275,1.00,0.9015
20,21,0.1987,0.4006,1.00,0.9033
21,22,0.1815,0.3839,1.00,0.9069
22,23,0.1919,0.4211,1.00,0.8905
23,24,0.1841,0.4009,1.00,0.8887
24,25,0.1974,0.3710,1.00,0.9069
25,26,0.1867,0.3997,1.00,0.9051
26,27,0.1712,0.4013,1.00,0.8942
27,28,0.1724,0.3808,1.00,0.8996
28,29,0.1687,0.3657,1.00,0.8905
29,30,0.1486,0.3783,1.00,0.8960
30,31,0.1594,0.3653,1.00,0.9051
31,32,0.1620,0.4240,1.00,0.8996
32,33,0.1449,0.3947,1.00,0.9106
33,34,0.1272,0.3973,1.00,0.8978
34,35,0.1362,0.3995,1.00,0.8923
35,36,0.1309,0.3773,1.00,0.8942
36,37,0.1116,0.3713,1.00,0.9051
37,38,0.1126,0.3672,1.00,0.8942
38,39,0.1206,0.3876,1.00,0.9051
39,40,0.1196,0.3644,1.00,0.8996
40,41,0.1224,0.3572,1.00,0.9015
41,42,0.1089,0.3695,1.00,0.9088
42,43,0.1098,0.3763,1.00,0.9142
43,44,0.1068,0.3762,1.00,0.9015
44,45,0.1054,0.3880,1.00,0.9051
45,46,0.1050,0.3828,1.00,0.8996
46,47,0.0989,0.4067,1.00,0.8942
47,48,0.0901,0.3801,1.00,0.9033
48,49,0.0891,0.3806,1.00,0.9106
49,50,0.0954,0.3867,1.00,0.9161
50,51,0.0879,0.4126,1.00,0.9088
51,52,0.0953,0.3870,1.00,0.9142
52,53,0.0939,0.3650,1.00,0.9088
53,54,0.0961,0.4330,1.00,0.9051
54,55,0.0950,0.3847,1.00,0.9069
55,56,0.0823,0.3904,1.00,0.9142
56,57,0.0916,0.4603,1.00,0.8942
57,58,0.0839,0.4114,1.00,0.9051
58,59,0.0785,0.3859,1.00,0.9106
59,60,0.0756,0.3998,1.00,0.9033
60,61,0.0681,0.4208,1.00,0.9069
61,62,0.0670,0.4495,1.00,0.8978
62,63,0.0704,0.4527,1.00,0.8942
63,64,0.0664,0.3928,1.00,0.9069
64,65,0.0683,0.4357,1.00,0.8978
65,66,0.0664,0.3952,1.00,0.9088
66,67,0.0647,0.3962,1.00,0.8942
67,68,0.0653,0.4079,1.00,0.9088
68,69,0.0629,0.3925,1.00,0.9088
69,70,0.0605,0.4564,1.00,0.8978
70,71,0.0540,0.4589,1.00,0.9033
71,72,0.0568,0.4692,1.00,0.9033
72,73,0.0635,0.4671,1.00,0.9033
73,74,0.0538,0.4765,1.00,0.9015
74,75,0.0537,0.4510,1.00,0.9069
75,76,0.0570,0.4202,1.00,0.8996
76,77,0.0559,0.4618,1.00,0.8960
77,78,0.0510,0.4502,1.00,0.9015
78,79,0.0509,0.4247,1.00,0.9051
79,80,0.0521,0.4321,1.00,0.9106
80,81,0.0536,0.4523,1.00,0.9124
81,82,0.0540,0.4676,1.00,0.9069
82,83,0.0509,0.4701,1.00,0.9033
83,84,0.0481,0.4568,1.00,0.9051
84,85,0.0546,0.4132,1.00,0.9051
85,86,0.0594,0.4282,1.00,0.8978
86,87,0.0554,0.4310,1.00,0.9051
87,88,0.0538,0.4407,1.00,0.9033
88,89,0.0549,0.4417,1.00,0.9051
89,90,0.0535,0.4639,1.00,0.8923
90,91,0.0492,0.4410,1.00,0.9197
91,92,0.0485,0.4321,1.00,0.9069
92,93,0.0456,0.4733,1.00,0.9051
93,94,0.0475,0.4684,1.00,0.8996
94,95,0.0424,0.4340,1.00,0.9106
95,96,0.0440,0.4559,1.00,0.9106
96,97,0.0469,0.4587,1.00,0.9161
97,98,0.0459,0.4785,1.00,0.9015
98,99,0.0380,0.4950,1.00,0.8960
99,100,0.0368,0.4856,1.00,0.9033
