,epoch,train_loss,test_loss,train_acc,test_acc
0,1,1.3543,1.2107,0.26,0.3887
1,2,1.1414,1.0403,0.45,0.6113
2,3,0.9635,0.9198,0.68,0.7555
3,4,0.8271,0.8218,0.86,0.8175
4,5,0.7344,0.7454,0.93,0.8668
5,6,0.6572,0.7016,0.97,0.8741
6,7,0.6041,0.6773,0.99,0.8832
7,8,0.5685,0.6468,0.99,0.8777
8,9,0.5348,0.6259,0.99,0.8869
9,10,0.5009,0.5982,1.00,0.8887
10,11,0.4748,0.5870,1.00,0.8869
11,12,0.4578,0.5777,1.00,0.8923
12,13,0.4346,0.5687,1.00,0.8887
13,14,0.4098,0.5614,1.00,0.8905
14,15,0.3911,0.5375,1.00,0.8942
15,16,0.3773,0.5319,1.00,0.8923
16,17,0.3683,0.5084,1.00,0.8996
17,18,0.3486,0.5084,1.00,0.8923
18,19,0.3346,0.5031,1.00,0.8942
19,20,0.3210,0.4995,1.00,0.8960
20,21,0.3072,0.4937,1.00,0.8923
21,22,0.3014,0.4968,1.00,0.8850
22,23,0.2857,0.4948,1.00,0.8850
23,24,0.2785,0.4744,1.00,0.8905
24,25,0.2667,0.4866,1.00,0.8923
25,26,0.2610,0.4690,1.00,0.8923
26,27,0.2491,0.4806,1.00,0.8887
27,28,0.2432,0.4785,1.00,0.8923
28,29,0.2327,0.4553,1.00,0.8923
29,30,0.2256,0.4608,1.00,0.8887
30,31,0.2196,0.4559,1.00,0.8905
31,32,0.2141,0.4585,1.00,0.8923
32,33,0.2063,0.4553,1.00,0.8905
33,34,0.2017,0.4428,1.00,0.8923
34,35,0.1974,0.4442,1.00,0.8923
35,36,0.1903,0.4705,1.00,0.8887
36,37,0.1858,0.4544,1.00,0.8887
37,38,0.1781,0.4520,1.00,0.8960
38,39,0.1751,0.4490,1.00,0.8942
39,40,0.1691,0.4501,1.00,0.8887
40,41,0.1663,0.4430,1.00,0.8887
41,42,0.1676,0.4607,1.00,0.8887
42,43,0.1608,0.4642,1.00,0.8905
43,44,0.1560,0.4847,1.00,0.8759
44,45,0.1516,0.4744,1.00,0.8905
45,46,0.1472,0.4553,1.00,0.8923
46,47,0.1465,0.4618,1.00,0.8850
47,48,0.1432,0.4563,1.00,0.8942
48,49,0.1389,0.4629,1.00,0.8850
49,50,0.1355,0.4588,1.00,0.8887
50,51,0.1327,0.4704,1.00,0.8850
51,52,0.1297,0.4819,1.00,0.8777
52,53,0.1296,0.5178,1.00,0.8723
53,54,0.1284,0.4514,1.00,0.8905
54,55,0.1226,0.4414,1.00,0.8887
55,56,0.1198,0.4949,1.00,0.8796
56,57,0.1195,0.4672,1.00,0.8814
57,58,0.1190,0.4913,1.00,0.8741
58,59,0.1137,0.4555,1.00,0.8887
59,60,0.1118,0.4740,1.00,0.8850
60,61,0.1096,0.4806,1.00,0.8869
61,62,0.1070,0.4859,1.00,0.8723
62,63,0.1044,0.4929,1.00,0.8850
63,64,0.1018,0.4721,1.00,0.8905
64,65,0.1029,0.4919,1.00,0.8850
65,66,0.0990,0.5102,1.00,0.8832
66,67,0.0966,0.4952,1.00,0.8832
67,68,0.0979,0.5113,1.00,0.8832
68,69,0.0956,0.4974,1.00,0.8850
69,70,0.0946,0.4893,1.00,0.8869
70,71,0.0932,0.5028,1.00,0.8869
71,72,0.0919,0.4844,1.00,0.8850
72,73,0.0884,0.4810,1.00,0.8869
73,74,0.0872,0.5072,1.00,0.8777
74,75,0.0852,0.4816,1.00,0.8869
75,76,0.0831,0.4797,1.00,0.8887
76,77,0.0827,0.4876,1.00,0.8960
77,78,0.0807,0.4952,1.00,0.8905
78,79,0.0797,0.5087,1.00,0.8869
79,80,0.0797,0.4851,1.00,0.8960
80,81,0.0798,0.4781,1.00,0.8960
81,82,0.0783,0.4967,1.00,0.8869
82,83,0.0763,0.4873,1.00,0.8923
83,84,0.0743,0.5069,1.00,0.8850
84,85,0.0743,0.5228,1.00,0.8796
85,86,0.0717,0.5261,1.00,0.8814
86,87,0.0709,0.5087,1.00,0.8832
87,88,0.0741,0.5010,1.00,0.8905
88,89,0.0727,0.5387,1.00,0.8850
89,90,0.0706,0.5143,1.00,0.8869
90,91,0.0682,0.5150,1.00,0.8960
91,92,0.0665,0.5241,1.00,0.8869
92,93,0.0662,0.5320,1.00,0.8850
93,94,0.0659,0.5327,1.00,0.8905
94,95,0.0648,0.5154,1.00,0.8960
95,96,0.0633,0.5278,1.00,0.8887
96,97,0.0673,0.5395,1.00,0.8814
97,98,0.0637,0.5334,1.00,0.8887
98,99,0.0623,0.5414,1.00,0.8869
99,100,0.0605,0.5311,1.00,0.8869
